Neighborhood,Name
R1,Rione Monti
R2,Rione Trevi
R4,Rione Campo Marzio
R5,Rione Ponte
R7,Rione Regola
R8,Rione Sant’Eustachio
R9,Rione Pigna
R11,Rione Sant’Angelo
R12,Rione Ripa
R13,Rione Trastevere
R14,Rione Borgo
R15,Rione Esquilino
R16,Rione Ludovisi
R17,Rione Sallustiano
R18,Rione Castro Pretorio
R19,Rione Celio
R20,Rione Testaccio
R21,Rione Prati
Q1,Quartiere Flaminio
Q2,Quartiere Parioli
Q3,Quartiere Pinciano
Q4,Quartiere Salario
Q5,Quartiere Nomentano
Q6,Quartiere Tiburtino
Q7,Quartiere Prenestino Labicano
Q8,Quartiere Tuscolano
Q9,Quartiere Appio Latino
Q10,Quartiere Ostiense
Q11,Quartiere Portuense
Q12,Quartiere Gianicolense
Q13,Quartiere Aurelio
Q14,Quartiere Trionfale
Q15,Quartiere Della Vittoria
Q16,Quartiere Monte Sacro
Q17,Quartiere Trieste
Q18,Quartiere Tor di Quinto
Q19,Quartiere Prenestino Centocelle
Q20,Quartiere Ardeatino
Q21,Quartiere Pietralata
Q22,Quartiere Collatino
Q23,Quartiere Alessandrino
Q24,Quartiere Don Bosco
Q25,Quartiere Appio Claudio
Q26,Quartiere Appio Pignatelli
Q27,Quartiere Primavalle
Q28,Quartiere Monte Sacro Alto
Q29,Quartiere Ponte Mammolo
Q30,Quartiere San Basilio
Q31,Quartiere Giuliano Dalmata
Q32,Quartiere Eur
